Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent,_segment_reel_pour_validation
2001,Ivy A.,50,Female,Philadelphia,2022-05-17,190.02,Occasional
2002,Quinn B.,47,Female,Chicago,2023-08-02,1849.79,Loyal Saver
2003,Sam C.,25,Female,San Diego,2023-04-06,1926.19,Young Active
2004,Quinn D.,24,Female,San Diego,2023-06-27,1259.16,Young Active
2005,Diana E.,56,Female,Houston,2023-08-09,413.48,Occasional
2006,Oscar F.,43,Male,Houston,2022-05-26,197.52,Occasional
2007,Grace G.,32,Male,Houston,2022-07-13,1951.3,VIP
2008,Charlie H.,54,Male,New York,2023-04-23,2698.64,Loyal Saver
2009,Charlie I.,22,Male,Philadelphia,2022-08-22,2171.3,Young Active
2010,Leo J.,27,Female,San Diego,2022-07-26,1517.72,Young Active
2011,Leo K.,30,Male,Philadelphia,2023-11-07,4281.76,VIP
2012,Henry L.,52,Female,New York,2022-08-18,3984.37,Loyal Saver
2013,Henry M.,45,Male,San Antonio,2022-10-31,2399.16,Loyal Saver
2014,Bob N.,33,Female,Houston,2023-06-02,56.4,Occasional
2015,Karen O.,52,Male,Houston,2023-09-27,382.59,Occasional
2016,Karen P.,42,Male,Phoenix,2023-03-30,188.32,Occasional
2017,Diana Q.,57,Male,Phoenix,2023-04-03,256.42,Occasional
2018,Nina R.,22,Female,Phoenix,2022-08-26,3608.72,Young Active
2019,Frank S.,23,Female,Philadelphia,2022-12-13,318.18,Occasional
2020,Bob T.,21,Male,San Antonio,2023-05-31,226.02,Occasional
2021,Sam U.,23,Male,New York,2023-10-17,2057.6,Young Active
2022,Eva V.,39,Female,Houston,2023-08-31,2946.42,VIP
2023,Bob W.,37,Male,San Diego,2022-04-30,378.38,Occasional
2024,Charlie X.,61,Female,Philadelphia,2023-06-23,228.5,Occasional
2025,Sam Y.,26,Female,Los Angeles,2023-02-18,2436.38,Young Active
2026,Charlie Z.,55,Female,Chicago,2022-09-08,3944.42,Loyal Saver
2027,Frank A.,23,Female,Houston,2022-08-31,361.07,Occasional
