Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent,recency_days,purchase_frequency,monetary_total,avg_basket_value,cluster
2001,Ivy A.,50,Female,Philadelphia,2022-05-17,190.02,354,1,190.02,190.02,0
2002,Quinn B.,47,Female,Chicago,2023-08-02,1849.79,40,10,1849.79,184.98,2
2003,Sam C.,25,Female,San Diego,2023-04-06,1926.19,30,12,1926.19,160.52,3
2004,Quinn D.,24,Female,San Diego,2023-06-27,1259.16,39,8,1259.16,157.4,3
2005,Diana E.,56,Female,Houston,2023-08-09,413.48,164,3,413.48,137.83,0
2006,Oscar F.,43,Male,Houston,2022-05-26,197.52,211,1,197.52,197.52,0
2007,Grace G.,32,Male,Houston,2022-07-13,1951.3,16,16,1951.3,121.96,3
2008,Charlie H.,54,Male,New York,2023-04-23,2698.64,70,18,2698.64,149.92,2
2009,Charlie I.,22,Male,Philadelphia,2022-08-22,2171.3,44,9,2171.3,241.26,3
2010,Leo J.,27,Female,San Diego,2022-07-26,1517.72,17,11,1517.72,137.97,3
2011,Leo K.,30,Male,Philadelphia,2023-11-07,4281.76,22,21,4281.76,203.89,1
2012,Henry L.,52,Female,New York,2022-08-18,3984.37,53,19,3984.37,209.7,1
2013,Henry M.,45,Male,San Antonio,2022-10-31,2399.16,54,19,2399.16,126.27,2
2014,Bob N.,33,Female,Houston,2023-06-02,56.4,228,1,56.4,56.4,0
2015,Karen O.,52,Male,Houston,2023-09-27,382.59,230,1,382.59000000000003,382.59,0
2016,Karen P.,42,Male,Phoenix,2023-03-30,188.32,264,2,188.32,94.16,0
2017,Diana Q.,57,Male,Phoenix,2023-04-03,256.42,341,3,256.42,85.47,0
2018,Nina R.,22,Female,Phoenix,2022-08-26,3608.72,32,13,3608.72,277.59,3
2019,Frank S.,23,Female,Philadelphia,2022-12-13,318.18,121,1,318.18,318.18,0
2020,Bob T.,21,Male,San Antonio,2023-05-31,226.02,145,3,226.02,75.34,0
2021,Sam U.,23,Male,New York,2023-10-17,2057.6,67,12,2057.6,171.47,3
2022,Eva V.,39,Female,Houston,2023-08-31,2946.42,37,21,2946.42,140.31,1
2023,Bob W.,37,Male,San Diego,2022-04-30,378.38,193,2,378.38,189.19,0
2024,Charlie X.,61,Female,Philadelphia,2023-06-23,228.5,207,2,228.5,114.25,0
2025,Sam Y.,26,Female,Los Angeles,2023-02-18,2436.38,89,11,2436.38,221.49,3
2026,Charlie Z.,55,Female,Chicago,2022-09-08,3944.42,47,18,3944.42,219.13,2
2027,Frank A.,23,Female,Houston,2022-08-31,361.07,138,3,361.07,120.36,0
2028,Charlie B.,27,Female,Houston,2022-01-28,1714.4,38,10,1714.4,171.44,3
2029,Oscar C.,25,Male,Los Angeles,2022-11-21,3955.5,12,14,3955.5,282.54,3
2030,Mona D.,47,Female,Philadelphia,2022-07-08,5011.65,27,29,5011.650000000001,172.82,1
2031,Tina E.,23,Male,Philadelphia,2022-04-11,3083.64,24,14,3083.64,220.26,3
2032,Frank F.,61,Female,New York,2022-11-05,267.24,244,2,267.24,133.62,0
2033,Eva G.,31,Female,New York,2022-09-06,3512.05,10,18,3512.05,195.11,1
2034,Diana H.,58,Male,Philadelphia,2023-09-19,2170.97,61,14,2170.9700000000003,155.07,2
2035,Charlie I.,63,Male,Los Angeles,2023-08-10,2685.76,40,13,2685.76,206.6,2
2036,Sam J.,53,Male,San Diego,2022-01-28,1781.73,32,14,1781.73,127.27,2
2037,Paul K.,18,Female,Chicago,2022-07-01,773.34,416,1,773.3399999999999,773.34,0
2038,Eva L.,32,Female,San Diego,2022-01-11,4639.11,1,25,4639.11,185.56,1
2039,Diana M.,29,Male,New York,2023-05-19,1956.9,47,10,1956.9,195.69,3
2040,Grace N.,50,Female,New York,2023-11-04,410.78,189,3,410.78,136.93,0
2041,Alice O.,30,Female,New York,2022-06-03,2357.48,12,17,2357.48,138.68,3
2042,Eva P.,18,Male,Chicago,2022-05-29,2915.3,35,11,2915.3,265.03,3
2043,Quinn Q.,48,Female,New York,2022-12-18,3777.75,12,20,3777.75,188.89,1
2044,Alice R.,56,Male,Philadelphia,2022-01-08,3450.86,24,19,3450.86,181.62,2
2045,Charlie S.,51,Male,New York,2022-03-01,75.82,312,1,75.82,75.82,0
2046,Frank T.,21,Male,San Diego,2022-10-24,3065.59,31,13,3065.59,235.81,3
2047,Frank U.,38,Female,New York,2022-10-08,323.19,142,2,323.19,161.6,0
2048,Grace V.,18,Female,Phoenix,2022-04-27,1671.21,58,9,1671.21,185.69,3
2049,Frank W.,26,Female,Philadelphia,2022-05-31,2405.97,16,11,2405.9700000000003,218.72,3
2050,Henry X.,21,Male,Los Angeles,2022-07-27,446.16,436,1,446.16,446.16,0
2051,Ivy Y.,56,Female,Phoenix,2023-10-04,3087.3,53,19,3087.2999999999997,162.49,2
2052,Frank Z.,59,Male,Los Angeles,2022-07-30,2770.0,37,18,2770.0,153.89,2
2053,Sam A.,48,Female,Chicago,2022-02-01,3972.63,48,17,3972.63,233.68,1
2054,Oscar B.,65,Male,Philadelphia,2023-08-10,2156.17,46,10,2156.17,215.62,2
2055,Grace C.,24,Male,New York,2022-10-01,1673.36,52,9,1673.3600000000001,185.93,3
2056,Charlie D.,63,Female,New York,2022-11-01,3314.45,30,19,3314.45,174.44,2
2057,Alice E.,47,Male,Houston,2022-10-06,5057.74,27,24,5057.74,210.74,1
2058,Rita F.,31,Male,Houston,2023-04-27,27.0,215,1,27.0,27.0,0
2059,Oscar G.,39,Male,Houston,2023-03-14,3044.48,46,19,3044.48,160.24,1
2060,Oscar H.,40,Female,San Antonio,2022-05-06,92.61,203,1,92.61,92.61,0
2061,Mona I.,19,Female,San Diego,2023-03-30,133.23,139,2,133.23000000000002,66.62,0
2062,Quinn J.,32,Female,Chicago,2022-04-18,61.7,129,1,61.7,61.7,0
2063,Oscar K.,65,Male,Los Angeles,2023-06-22,3473.82,41,18,3473.8199999999997,192.99,2
2064,Henry L.,47,Male,San Diego,2022-09-11,549.61,200,3,549.61,183.2,0
2065,Eva M.,20,Female,San Diego,2022-06-27,356.83,197,2,356.83,178.42,0
2066,Rita N.,20,Female,Chicago,2022-03-22,3255.46,39,10,3255.46,325.55,3
2067,Ivy O.,36,Female,San Antonio,2023-07-20,4589.02,12,24,4589.02,191.21,1
2068,Rita P.,57,Female,San Diego,2022-12-09,3026.43,18,13,3026.4300000000003,232.8,2
2069,Rita Q.,37,Male,New York,2023-05-10,4573.39,5,28,4573.389999999999,163.34,1
2070,Alice R.,66,Male,Houston,2023-05-15,2787.99,54,17,2787.99,164.0,2
2071,Alice S.,68,Male,Phoenix,2022-08-09,1970.15,42,14,1970.15,140.72,2
2072,Nina T.,62,Female,Phoenix,2023-03-26,75.98,96,1,75.98,75.98,0
2073,Jack U.,30,Female,Phoenix,2021-12-28,3910.39,17,18,3910.39,217.24,1
2074,Charlie V.,55,Female,Chicago,2022-07-29,3267.83,26,13,3267.83,251.37,2
2075,Mona W.,28,Female,Houston,2022-04-29,1195.6,55,10,1195.6,119.56,3
2076,Jack X.,19,Female,Chicago,2022-11-25,1746.26,76,10,1746.26,174.63,3
2077,Nina Y.,61,Male,New York,2022-01-11,3035.26,40,18,3035.26,168.63,2
2078,Oscar Z.,32,Female,New York,2023-10-29,2650.83,22,18,2650.83,147.27,3
2079,Grace A.,55,Female,Houston,2022-08-03,321.3,218,3,321.3,107.1,0
2080,Grace B.,40,Female,San Diego,2023-08-04,5763.22,4,27,5763.22,213.45,1
2081,Eva C.,55,Female,Chicago,2023-06-03,2793.02,22,12,2793.02,232.75,2
2082,Frank D.,29,Female,Chicago,2022-09-11,1796.65,51,9,1796.65,199.63,3
2083,Ivy E.,40,Male,San Antonio,2022-08-05,159.44,197,2,159.44,79.72,0
2084,Grace F.,33,Male,Chicago,2022-09-21,3414.99,22,17,3414.99,200.88,1
2085,Karen G.,60,Female,San Antonio,2022-07-19,30.82,238,1,30.82,30.82,0
2086,Henry H.,51,Female,Phoenix,2022-05-22,102.46,251,1,102.46,102.46,0
2087,Oscar I.,29,Female,San Antonio,2021-12-23,2031.31,24,12,2031.31,169.28,3
2088,Frank J.,27,Female,New York,2023-08-24,1302.64,64,9,1302.6399999999999,144.74,3
2089,Grace K.,50,Male,Chicago,2023-10-15,2413.82,30,16,2413.82,150.86,2
2090,Eva L.,26,Female,New York,2023-05-03,2321.77,56,12,2321.77,193.48,3
2091,Sam M.,32,Male,San Antonio,2022-04-06,4069.37,18,23,4069.37,176.93,1
2092,Frank N.,25,Male,San Antonio,2023-09-30,2868.16,33,13,2868.1600000000003,220.63,3
2093,Karen O.,41,Female,San Diego,2023-03-01,3453.33,47,13,3453.33,265.64,1
2094,Diana P.,18,Female,San Diego,2023-01-26,2238.88,45,13,2238.88,172.22,3
2095,Sam Q.,69,Male,Los Angeles,2023-08-18,2954.63,58,13,2954.63,227.28,2
2096,Oscar R.,22,Female,San Antonio,2022-05-20,1969.71,54,11,1969.71,179.06,3
2097,Karen S.,27,Female,New York,2022-02-25,2838.67,130,8,2838.67,354.83,3
2098,Bob T.,28,Male,Chicago,2022-08-17,463.3,153,2,463.3,231.65,0
2099,Jack U.,36,Male,Chicago,2022-03-25,3611.04,16,22,3611.04,164.14,1
2100,Paul V.,40,Male,Chicago,2022-02-22,5255.33,31,24,5255.33,218.97,1
2101,Rita W.,30,Male,Phoenix,2023-09-08,4194.97,3,29,4194.97,144.65,1
2102,Charlie X.,19,Female,Los Angeles,2023-03-01,2406.11,78,13,2406.11,185.09,3
2103,Frank Y.,61,Male,New York,2023-06-05,437.86,260,2,437.86,218.93,0
2104,Alice Z.,27,Male,Houston,2022-04-11,1720.17,26,12,1720.17,143.35,3
2105,Charlie A.,37,Male,Chicago,2022-12-30,2053.29,51,10,2474.08,247.41,3
2106,Diana B.,18,Male,San Antonio,2022-08-29,443.28,210,1,443.28,443.28,0
2107,Rita C.,39,Male,Phoenix,2023-06-08,104.2,460,1,104.2,104.2,0
2108,Charlie D.,50,Female,San Diego,2022-05-17,2693.71,31,12,2693.71,224.48,2
2109,Sam E.,28,Male,Los Angeles,2022-02-25,652.48,113,2,652.48,326.24,0
2110,Mona F.,33,Male,San Diego,2022-04-28,4094.09,59,21,4094.09,194.96,1
2111,Jack G.,25,Female,Phoenix,2022-10-13,536.04,293,3,536.04,178.68,0
2112,Leo H.,46,Female,San Diego,2023-02-12,236.52,170,1,236.52,236.52,0
2113,Henry I.,58,Female,Houston,2023-05-03,2289.58,77,11,2289.58,208.14,2
2114,Quinn J.,44,Female,Chicago,2022-01-20,4095.22,46,13,4095.22,315.02,1
2115,Frank K.,25,Male,Los Angeles,2023-10-19,2065.71,15,12,2065.71,172.14,3
2116,Quinn L.,53,Male,Phoenix,2022-04-09,3050.93,20,13,3050.93,234.69,2
2117,Sam M.,59,Female,Chicago,2022-07-12,2866.5,26,17,2866.5,168.62,2
2118,Grace N.,20,Male,San Antonio,2023-01-18,589.37,78,3,589.37,196.46,3
2119,Rita O.,49,Male,Los Angeles,2022-11-17,2053.29,155,10,2376.69,237.67,2
2120,Ivy P.,28,Male,Los Angeles,2022-01-20,1634.7,60,10,1634.7,163.47,3
2121,Karen Q.,37,Male,Houston,2022-01-13,3234.84,36,11,3234.84,294.08,3
2122,Frank R.,65,Female,San Antonio,2021-12-25,3061.77,35,17,3061.77,180.1,2
2123,Paul S.,21,Female,San Antonio,2022-11-11,703.6,196,2,703.6,351.8,0
2124,Mona T.,34,Male,Chicago,2022-12-19,2623.6,3,19,2623.6,138.08,1
2125,Nina U.,36,Female,New York,2022-08-28,515.06,102,3,515.06,171.69,0
2126,Leo V.,56,Male,San Diego,2023-10-20,281.12,314,1,281.12,281.12,0
2127,Sam W.,63,Female,Los Angeles,2023-08-06,2955.61,11,19,2955.6099999999997,155.56,2
2128,Henry X.,56,Male,Chicago,2023-02-11,2654.07,55,12,2654.07,221.17,2
2129,Bob Y.,53,Female,Philadelphia,2022-12-15,4382.52,3,27,4382.5199999999995,162.32,1
2130,Sam Z.,24,Male,Chicago,2022-06-22,1266.65,61,10,1266.65,126.66,3
2131,Paul A.,59,Female,San Antonio,2022-10-29,26.65,259,1,26.65,26.65,0
2132,Jack B.,49,Male,Los Angeles,2023-06-01,419.01,251,3,419.01,139.67,0
2133,Oscar C.,30,Female,San Diego,2022-02-16,5967.53,17,27,5967.530000000001,221.02,1
2134,Ivy D.,25,Female,Philadelphia,2022-08-18,886.14,140,2,886.1400000000001,443.07,0
2135,Oscar E.,54,Female,San Diego,2023-03-27,2128.04,50,14,2128.04,152.0,2
2136,Paul F.,53,Female,San Diego,2023-04-16,97.62,164,1,97.62,97.62,0
2137,Ivy G.,28,Female,Houston,2022-08-29,2085.42,23,12,2085.42,173.78,3
2138,Sam H.,18,Male,Chicago,2022-08-02,1384.52,67,13,1384.52,106.5,3
2139,Sam I.,27,Male,New York,2022-11-07,778.43,213,2,778.4300000000001,389.22,0
2140,Paul J.,57,Male,San Diego,2022-09-10,1817.08,54,12,1817.08,151.42,2
2141,Nina K.,37,Female,Los Angeles,2023-05-25,2495.27,41,12,2495.27,207.94,3
2142,Sam L.,47,Male,Phoenix,2022-08-19,459.6,161,2,459.59999999999997,229.8,0
2143,Diana M.,18,Female,San Antonio,2022-12-17,1838.02,24,10,1838.02,183.8,3
2144,Mona N.,60,Female,New York,2023-03-31,45.9,292,1,45.9,45.9,0
2145,Diana O.,40,Male,San Antonio,2023-01-15,622.16,257,3,622.1600000000001,207.39,0
2146,Eva P.,46,Female,Phoenix,2021-12-18,4839.24,34,27,4839.24,179.23,1
2147,Rita Q.,29,Male,Los Angeles,2022-01-30,1482.15,36,10,1482.15,148.22,3
2148,Sam R.,29,Male,Houston,2023-11-08,3380.22,10,14,3380.22,241.44,3
2149,Ivy S.,38,Male,New York,2022-07-10,2888.43,19,17,2888.43,169.91,1
2150,Mona T.,48,Female,New York,2023-02-15,432.39,173,1,432.39,432.39,0
2151,Oscar U.,60,Female,Los Angeles,2022-10-27,1675.49,15,11,1675.49,152.32,2
2152,Jack V.,19,Male,Los Angeles,2022-09-09,515.26,169,2,515.26,257.63,0
2153,Henry W.,35,Male,San Antonio,2022-11-21,2891.05,29,20,2891.05,144.55,1
2154,Jack X.,24,Male,Los Angeles,2022-04-04,1668.89,20,11,1668.8899999999999,151.72,3
2155,Tina Y.,50,Male,San Diego,2022-12-08,2444.94,26,15,2444.94,163.0,2
2156,Alice Z.,50,Male,Phoenix,2022-08-12,483.78,222,2,483.78,241.89,0
2157,Sam A.,19,Female,Phoenix,2023-09-14,3406.03,64,14,3406.0299999999997,243.29,3
2158,Rita B.,61,Male,New York,2022-05-13,3938.13,10,19,3938.13,207.27,2
2159,Leo C.,22,Female,New York,2023-10-16,62.12,255,1,62.12,62.12,0
2160,Karen D.,21,Female,San Diego,2023-08-20,2153.76,12,14,2153.7599999999998,153.84,3
2161,Leo E.,55,Female,Los Angeles,2023-02-28,536.34,91,3,536.34,178.78,0
2162,Grace F.,18,Female,New York,2022-03-03,1389.28,56,10,1389.28,138.93,3
2163,Eva G.,28,Male,Chicago,2022-11-19,1727.86,47,10,1727.8600000000001,172.79,3
2164,Oscar H.,20,Female,New York,2022-05-21,2385.02,18,14,2385.02,170.36,3
2165,Grace I.,34,Female,Chicago,2023-03-10,3878.43,29,17,3878.43,228.14,1
2166,Nina J.,65,Female,San Diego,2022-02-13,2895.25,39,19,2895.25,152.38,2
2167,Quinn K.,59,Male,Los Angeles,2023-03-18,787.53,211,2,787.53,393.76,0
2168,Oscar L.,22,Female,Phoenix,2021-12-18,312.11,424,3,312.11,104.04,0
2169,Henry M.,38,Male,New York,2022-10-14,4104.7,15,22,4104.7,186.58,1
2170,Karen N.,19,Female,San Diego,2022-03-22,2865.41,28,14,2865.41,204.67,3
2171,Nina O.,22,Male,Los Angeles,2023-06-05,2499.11,29,14,2499.11,178.51,3
2172,Sam P.,32,Female,Los Angeles,2023-05-19,2605.38,1,18,2605.38,144.74,3
2173,Paul Q.,25,Female,Phoenix,2023-02-07,1652.81,72,11,1652.81,150.26,3
2174,Tina R.,36,Female,Philadelphia,2023-11-05,727.66,228,3,727.66,242.55,0
2175,Diana S.,23,Male,San Antonio,2023-10-03,2548.57,29,10,2548.57,254.86,3
2176,Jack T.,61,Female,Chicago,2022-11-30,529.14,269,3,529.14,176.38,0
2177,Leo U.,24,Female,Houston,2022-02-16,1767.93,99,8,1767.93,220.99,3
2178,Sam V.,29,Male,Houston,2022-03-25,146.1,181,2,146.10000000000002,73.05,0
2179,Leo W.,67,Female,New York,2022-01-18,2053.29,57,14,3122.81,223.06,2
2180,Rita X.,30,Female,Philadelphia,2023-02-19,4390.02,18,20,4390.02,219.5,1
2181,Mona Y.,20,Female,San Diego,2022-09-16,238.5,311,2,238.5,119.25,0
2182,Charlie Z.,48,Female,Chicago,2022-09-11,5382.81,24,24,5382.8099999999995,224.28,1
2183,Grace A.,58,Male,Chicago,2022-04-20,2248.94,31,12,2248.94,187.41,2
2184,Leo B.,67,Male,New York,2022-03-11,2752.96,31,13,2752.96,211.77,2
2185,Eva C.,47,Female,Philadelphia,2023-08-07,360.96,157,2,360.96000000000004,180.48,0
2186,Mona D.,25,Female,Philadelphia,2023-04-13,1546.41,31,9,1546.4099999999999,171.82,3
2187,Ivy E.,61,Male,Philadelphia,2023-10-30,1946.83,25,12,1946.83,162.24,2
2188,Nina F.,27,Female,Houston,2023-03-02,2758.57,28,13,2758.5699999999997,212.2,3
2189,Henry G.,26,Female,San Antonio,2023-07-23,3462.73,61,13,3462.73,266.36,3
2190,Paul H.,38,Male,Houston,2022-09-22,31.36,396,1,31.36,31.36,0
2191,Nina I.,43,Male,Houston,2022-03-02,4344.41,11,18,4344.41,241.36,1
2192,Karen J.,48,Female,Houston,2022-02-11,4135.93,43,19,4135.93,217.68,1
2193,Henry K.,54,Female,Philadelphia,2023-07-02,2617.99,17,10,2617.99,261.8,2
2194,Bob L.,18,Female,San Diego,2023-02-17,1844.42,29,11,1844.42,167.67,3
2195,Nina M.,34,Male,New York,2022-07-15,435.51,250,1,435.51,435.51,0
2196,Paul N.,30,Male,Phoenix,2022-11-08,506.64,445,1,506.64,506.64,0
2197,Henry O.,29,Male,New York,2023-07-29,2749.08,46,12,2749.08,229.09,3
2198,Grace P.,54,Female,New York,2023-06-09,3423.07,53,18,3423.07,190.17,2
2199,Alice Q.,47,Male,Phoenix,2023-08-09,2630.17,93,10,2630.17,263.02,2
2200,Frank R.,68,Male,Phoenix,2022-05-15,1885.75,85,10,1885.75,188.58,2
2201,Eva S.,20,Male,Philadelphia,2023-10-19,2333.51,17,12,2333.51,194.46,3
2202,Grace T.,38,Male,Chicago,2022-06-17,4802.46,35,23,4802.46,208.8,1
2203,Diana U.,49,Female,San Antonio,2022-04-17,578.61,116,3,578.61,192.87,0
2204,Karen V.,48,Female,San Antonio,2023-02-06,3464.87,51,15,3464.87,230.99,2
2205,Sam W.,22,Male,Los Angeles,2023-07-22,2021.47,56,12,2021.47,168.46,3
2206,Leo X.,38,Female,San Diego,2022-01-24,3872.94,25,29,3872.94,133.55,1
2207,Sam Y.,54,Female,New York,2023-10-24,3967.03,27,18,3967.03,220.39,1
2208,Jack Z.,19,Female,Los Angeles,2023-07-01,2441.86,15,12,2441.86,203.49,3
2209,Sam A.,46,Female,Chicago,2022-09-30,3414.67,25,23,3414.67,148.46,1
2210,Oscar B.,56,Male,San Diego,2023-05-06,840.15,157,3,840.15,280.05,0
2211,Henry C.,27,Female,Houston,2023-05-29,3122.43,36,12,3122.43,260.2,3
2212,Alice D.,18,Female,Los Angeles,2023-08-22,2249.19,28,13,2249.19,173.01,3
2213,Henry E.,21,Male,Chicago,2023-07-18,2533.23,57,10,2533.23,253.32,3
2214,Leo F.,44,Male,San Antonio,2022-05-30,86.34,212,1,86.34,86.34,0
2215,Rita G.,26,Male,Phoenix,2022-02-25,2436.73,22,12,2436.73,203.06,3
2216,Quinn H.,41,Female,Phoenix,2023-06-16,305.38,305,2,305.38,152.69,0
2217,Quinn I.,58,Male,Los Angeles,2022-10-04,113.83,211,1,113.83,113.83,0
2218,Ivy J.,19,Female,New York,2023-03-02,1993.05,57,14,1993.05,142.36,3
2219,Bob K.,26,Male,Phoenix,2023-08-24,2486.78,44,14,2486.78,177.63,3
2220,Rita L.,63,Male,San Diego,2022-01-09,3258.74,35,19,3258.7400000000002,171.51,2
2221,Grace M.,22,Female,New York,2023-08-07,2397.78,105,9,2397.7799999999997,266.42,3
2222,Oscar N.,22,Female,Philadelphia,2022-03-18,1259.83,31,8,1259.83,157.48,3
2223,Mona O.,34,Female,Phoenix,2023-09-18,2670.7,13,15,2670.7,178.05,3
2224,Oscar P.,56,Female,San Antonio,2022-12-05,193.25,121,2,193.25,96.62,0
2225,Diana Q.,58,Male,New York,2023-09-02,586.03,271,3,586.03,195.34,0
2226,Grace R.,22,Female,Philadelphia,2023-11-08,470.94,107,2,470.94,235.47,0
2227,Rita S.,39,Male,Houston,2022-06-19,1299.42,26,11,1299.42,118.13,3
2228,Paul T.,27,Female,San Antonio,2022-07-13,76.3,434,1,76.3,76.3,0
2229,Bob U.,36,Male,Philadelphia,2023-01-27,1753.92,12,13,1753.92,134.92,3
2230,Charlie V.,18,Female,Phoenix,2022-01-25,2218.23,49,13,2218.23,170.63,3
2231,Quinn W.,43,Male,Houston,2023-08-28,4123.06,40,13,4123.06,317.16,1
2232,Charlie X.,25,Male,Philadelphia,2023-01-06,2407.3,24,11,2407.2999999999997,218.85,3
2233,Bob Y.,20,Male,New York,2023-04-30,2053.29,71,9,1569.02,174.34,3
2234,Karen Z.,24,Female,New York,2022-09-14,2053.29,22,11,2348.97,213.54,3
2235,Rita A.,57,Male,Chicago,2023-03-17,627.21,214,2,627.2099999999999,313.6,0
2236,Nina B.,23,Male,Houston,2023-05-03,2577.48,28,10,2577.48,257.75,3
2237,Karen C.,37,Male,Chicago,2022-12-17,152.21,214,3,152.20999999999998,50.74,0
2238,Mona D.,52,Female,San Diego,2022-04-05,3364.07,26,18,3364.07,186.89,2
2239,Alice E.,25,Male,Chicago,2022-06-17,1389.9,69,10,1389.9,138.99,3
2240,Eva F.,23,Male,San Diego,2022-12-31,219.86,100,1,219.86,219.86,0
2241,Jack G.,41,Female,Chicago,2022-03-18,1932.81,36,10,1932.81,193.28,3
2242,Oscar H.,60,Male,Philadelphia,2023-08-03,4005.5,65,18,4005.5,222.53,2
2243,Mona I.,66,Female,Los Angeles,2022-03-02,2053.29,47,16,3315.27,207.2,2
2244,Leo J.,59,Female,Chicago,2022-06-06,412.02,124,3,412.02,137.34,0
2245,Sam K.,36,Male,Los Angeles,2022-06-24,2420.4,15,15,2420.4,161.36,3
2246,Jack L.,52,Female,Los Angeles,2023-03-27,2286.38,46,14,2286.38,163.31,2
2247,Sam M.,53,Male,New York,2022-09-25,1022.31,185,3,1022.3100000000001,340.77,0
2248,Leo N.,54,Female,Chicago,2023-02-20,1971.95,9,14,1971.95,140.85,2
2249,Grace O.,36,Female,Los Angeles,2022-09-19,1454.4,65,11,1454.4,132.22,3
2250,Frank P.,65,Female,Houston,2023-07-31,3650.16,15,16,3650.16,228.14,2
2251,Diana Q.,40,Male,Los Angeles,2022-07-17,79.23,262,1,79.23,79.23,0
2252,Tina R.,26,Female,Phoenix,2022-05-13,227.21,202,2,227.20999999999998,113.6,0
2253,Frank S.,62,Male,San Antonio,2022-03-16,2593.29,25,16,2593.29,162.08,2
2254,Rita T.,49,Male,New York,2022-09-03,121.59,376,1,121.59,121.59,0
2255,Leo U.,31,Male,New York,2023-08-27,703.51,114,3,703.51,234.5,0
2256,Bob V.,18,Female,Chicago,2023-03-21,1680.68,63,11,1680.68,152.79,3
